freq,unit,geo\TIME_PERIOD	2017 	2018 	2019 	2020 	2021 
A,PC_HH,FI1B	97.62 	95.87 	94.72 	96.64 	97.84 
A,PC_HH,FI1C	90.83 	90.65 	94.19 	95.30 	94.51 
A,PC_HH,FI1D	91.60 	91.39 	91.34 	91.08 	93.22 
A,PC_HH,FR	79.18 	81.31 	82.84 	: 	88.11 
A,PC_HH,FR1	86.56 	86.97 	89.34 	: 	94.19 
A,PC_HH,FR10	86.56 	86.97 	89.34 	: 	94.19 
A,PC_HH,FRB	77.09 	82.87 	80.32 	: 	87.38 
A,PC_HH,FRB0	77.09 	82.87 	80.32 	: 	87.38 
A,PC_HH,FRC	77.37 	75.59 	78.58 	: 	83.89 
A,PC_HH,FRC1	81.47 	75.47 	78.31 	: 	80.83 
A,PC_HH,FRC2	72.27 	75.77 	78.99 	: 	87.44 
A,PC_HH,FRD	74.15 	79.95 	78.06 	: 	84.86 
A,PC_HH,FRD1	72.95 	79.45 	76.60 	: 	84.91 
A,PC_HH,FRD2	75.02 	80.31 	79.45 	: 	84.82 
A,PC_HH,FRE	75.19 	80.73 	81.93 	: 	87.08 
A,PC_HH,FRE1	74.48 	79.71 	83.10 	: 	88.40 
A,PC_HH,FRE2	76.51 	82.91 	79.55 	: 	84.45 
A,PC_HH,FRF	77.87 	80.24 	80.09 	: 	88.06 
A,PC_HH,FRF1	80.58 	81.75 	80.31 	: 	89.51 
A,PC_HH,FRF2	76.03 	77.54 	77.49 	: 	85.46 
A,PC_HH,FRF3	76.85 	80.80 	81.47 	: 	88.12 
A,PC_HH,FRG	77.26 	82.93 	85.48 	: 	87.82 
A,PC_HH,FRG0	77.26 	82.93 	85.48 	: 	87.82 
A,PC_HH,FRH	78.34 	80.82 	84.37 	: 	86.30 
A,PC_HH,FRH0	78.34 	80.82 	84.37 	: 	86.30 
A,PC_HH,FRI	77.36 	79.61 	81.65 	: 	86.54 
A,PC_HH,FRI1	80.36 	82.81 	83.25 	: 	89.13 
A,PC_HH,FRI2	74.06 	63.49 	71.17 	: 	75.28 
A,PC_HH,FRI3	73.04 	81.64 	82.70 	: 	86.90 
A,PC_HH,FRJ	79.55 	81.04 	80.67 	: 	85.34 
A,PC_HH,FRJ1	77.14 	81.90 	79.73 	: 	86.58 
A,PC_HH,FRJ2	81.78 	80.23 	81.54 	: 	84.11 
A,PC_HH,FRK	80.59 	80.16 	83.25 	: 	88.09 
A,PC_HH,FRK1	78.23 	80.35 	76.85 	: 	84.68 
A,PC_HH,FRK2	81.13 	80.12 	84.59 	: 	88.77 
A,PC_HH,FRL	81.91 	81.00 	83.28 	: 	88.45 
A,PC_HH,FRL0	81.91 	81.00 	83.28 	: 	88.45 
A,PC_HH,FRM	63.76 u	75.67 u	76.96 u	: 	75.11 u
A,PC_HH,FRM0	63.76 u	75.67 u	76.96 u	: 	75.11 u
A,PC_HH,FRY	62.92 	68.90 	70.73 	: 	83.55 
A,PC_HH,FRY1	64.50 	57.74 	72.07 	: 	75.37 
A,PC_HH,FRY2	72.15 	71.06 	75.52 	: 	85.81 
A,PC_HH,FRY3	71.85 	55.61 	78.70 	: 	79.16 
A,PC_HH,FRY4	55.26 	77.74 	66.10 	: 	87.39 
A,PC_HH,HR	75.99 	80.93 	80.52 	85.00 	86.06 
A,PC_HH,HR0	75.99 	80.93 	80.52 	85.00 	86.06 
A,PC_HH,HR03	73.09 	83.05 	83.84 	88.28 	87.38 
A,PC_HH,HR04	77.40 	79.89 	78.81 	83.36 	: 
A,PC_HH,HU	81.89 	82.87 	85.89 	87.23 	90.78 
A,PC_HH,HU1	88.75 	88.90 	90.67 	91.31 	94.80 
A,PC_HH,HU10	88.75 	: 	: 	: 	: 
A,PC_HH,HU11	: 	89.56 	92.11 	94.21 	95.62 
A,PC_HH,HU12	: 	87.88 	88.46 	86.91 	93.62 
A,PC_HH,HU2	82.71 	83.84 	86.12 	87.50 	91.12 
A,PC_HH,HU21	84.88 	86.29 	87.63 	90.58 	92.10 
A,PC_HH,HU22	83.05 	84.52 	85.29 	85.74 	91.89 
A,PC_HH,HU23	79.81 	80.16 	85.21 	85.75 	89.03 
A,PC_HH,HU3	75.61 	77.11 	81.70 	83.59 	87.07 
A,PC_HH,HU31	75.20 	77.84 	81.29 	83.76 	86.26 
A,PC_HH,HU32	75.66 	76.03 	82.34 	84.79 	88.04 
A,PC_HH,HU33	75.90 	77.63 	81.37 	82.17 	86.72 
A,PC_HH,IE	88.04 	88.10 	89.94 	91.82 	93.35 b
A,PC_HH,IE0	88.04 	88.10 	89.94 	91.82 	93.35 b
A,PC_HH,IE01	83.25 	: 	: 	: 	: 
A,PC_HH,IE02	89.77 	: 	: 	: 	: 
A,PC_HH,IE04	: 	80.80 	83.94 	94.12 	92.88 b
A,PC_HH,IE05	: 	87.34 	89.57 	89.49 	90.78 b
A,PC_HH,IE06	: 	91.70 	92.50 	92.58 	95.22 b
A,PC_HH,IS	96.19 	97.02 	94.56 	96.72 	94.90 
A,PC_HH,IS0	96.19 	97.02 	94.56 	96.72 	94.90 
A,PC_HH,IS00	96.19 	97.02 	94.56 	96.72 	94.90 
A,PC_HH,IT	79.46 	82.80 	83.72 	86.75 	88.49 
A,PC_HH,ITC	82.30 	85.18 	85.23 	88.39 	89.75 
A,PC_HH,ITC1	80.26 	83.73 	82.63 	86.58 	88.01 
A,PC_HH,ITC2	73.82 	80.42 	84.52 	83.42 	90.58 
A,PC_HH,ITC3	81.43 	84.58 	83.90 	88.61 	88.85 
A,PC_HH,ITC4	83.47 	85.98 	86.62 	89.21 	90.66 
A,PC_HH,ITF	74.94 	76.93 	78.39 	81.35 	85.33 
A,PC_HH,ITF1	80.97 	81.66 	84.08 	84.89 	87.30 
A,PC_HH,ITF2	74.69 	72.31 	77.08 	77.88 	84.14 
A,PC_HH,ITF3	76.34 	77.33 	78.51 	83.83 	87.18 
A,PC_HH,ITF4	74.14 	76.99 	77.29 	79.91 	82.97 
A,PC_HH,ITF5	73.16 	78.27 	78.26 	80.11 	84.95 
A,PC_HH,ITF6	69.28 	72.89 	76.57 	75.73 	83.65 
A,PC_HH,ITG	75.00 	77.18 	78.48 	79.96 	84.78 
A,PC_HH,ITG1	73.71 	73.95 	76.36 	78.37 	83.43 
A,PC_HH,ITG2	78.63 	86.08 	84.34 	84.32 	88.52 
A,PC_HH,ITH	81.74 	86.46 	87.83 	90.49 	90.89 
A,PC_HH,ITH1	80.28 	84.34 	85.44 	89.69 	88.91 
A,PC_HH,ITH2	81.76 	87.90 	91.13 	92.87 	91.72 
A,PC_HH,ITH3	81.02 	85.67 	87.43 	90.16 	89.77 
A,PC_HH,ITH4	80.18 	82.39 	86.55 	91.36 	90.26 
A,PC_HH,ITH5	83.07 	88.48 	88.47 	90.43 	92.40 
A,PC_HH,ITI	80.53 	85.27 	86.24 	90.39 	89.81 
A,PC_HH,ITI1	79.94 	85.98 	85.62 	90.24 	89.51 
A,PC_HH,ITI2	78.75 	83.16 	85.59 	85.74 	87.26 
A,PC_HH,ITI3	81.69 	86.92 	85.98 	88.89 	86.64 
A,PC_HH,ITI4	80.86 	84.74 	86.78 	91.47 	91.16 
A,PC_HH,LT	74.67 	77.89 	81.36 	81.83 	85.95 
A,PC_HH,LT0	74.67 	77.89 	81.36 	81.83 	85.95 
A,PC_HH,LT00	74.67 	: 	: 	: 	: 
A,PC_HH,LT01	: 	80.93 	83.16 	86.43 	87.43 
A,PC_HH,LT02	: 	76.71 	80.63 	79.98 	85.33 
A,PC_HH,LU	97.04 	92.87 b	95.20 	93.57 	97.35 
A,PC_HH,LU0	97.04 	92.87 b	95.20 	93.57 	97.35 
A,PC_HH,LU00	97.04 	92.87 b	95.20 	93.57 	97.35 
A,PC_HH,LV	76.50 	78.79 	83.30 	87.55 	89.48 
A,PC_HH,LV0	76.50 	78.79 	83.30 	87.55 	89.48 
A,PC_HH,LV00	76.50 	78.79 	83.30 	87.55 	89.48 
A,PC_HH,ME	65.33 	69.39 	72.37 	78.13 	77.82 
A,PC_HH,MK	67.14 	78.21 	80.38 	78.52 	83.12 
A,PC_HH,MK0	67.14 	78.21 	80.38 	78.52 	83.12 
A,PC_HH,MK00	67.14 	78.21 	80.38 	78.52 	: 
A,PC_HH,MT	84.77 	84.14 	85.91 	90.36 	90.54 
A,PC_HH,MT0	84.77 	84.14 	85.91 	90.36 	90.54 
A,PC_HH,MT00	84.77 	84.14 	85.91 	90.36 	90.54 
A,PC_HH,NL	97.80 	97.41 	97.92 	96.95 	98.56 
A,PC_HH,NL1	98.36 	96.76 	95.35 	96.65 	97.68 
A,PC_HH,NL11	98.86 	99.06 	93.43 	96.04 	98.58 
A,PC_HH,NL12	97.41 	95.78 	96.71 	96.40 	96.91 
A,PC_HH,NL13	99.09 	94.48 	96.16 	97.85 	97.51 
A,PC_HH,NL2	96.11 	97.42 	97.62 	97.48 	98.87 
A,PC_HH,NL21	95.67 	98.33 	95.62 	97.48 	99.39 
A,PC_HH,NL22	95.57 	97.97 	98.43 	97.22 	98.73 
A,PC_HH,NL23	100.00 	92.70 	99.22 	98.74 	98.23 
A,PC_HH,NL3	98.31 	97.65 	98.29 	96.91 	98.67 
A,PC_HH,NL31	98.01 	96.52 	98.29 	96.93 	99.48 
A,PC_HH,NL32	99.05 	98.48 	98.37 	97.88 	98.50 
A,PC_HH,NL33	98.03 	97.43 	98.20 	96.36 	98.39 
A,PC_HH,NL34	96.03 	97.11 	98.74 	94.62 	100.00 
A,PC_HH,NL4	98.01 	97.18 	98.56 	96.67 	98.38 
A,PC_HH,NL41	97.97 	97.63 	98.36 	96.93 	98.50 
A,PC_HH,NL42	98.10 	96.16 	99.03 	96.07 	98.12 
A,PC_HH,NO	93.85 	94.09 	97.44 	96.01 	98.60 
A,PC_HH,NO0	93.85 	94.09 	97.44 	96.01 	98.60 
A,PC_HH,NO01	95.65 	93.67 	98.42 	99.02 	: 
A,PC_HH,NO02	90.85 	98.30 	100.00 	81.63 	100.00 
A,PC_HH,NO03	94.85 	92.46 	98.52 	94.63 	: 
A,PC_HH,NO04	94.95 	99.31 	98.06 	95.13 	: 
A,PC_HH,NO05	92.37 	92.48 	96.89 	96.22 	: 
A,PC_HH,NO06	88.81 	93.27 	92.22 	100.00 	99.86 
A,PC_HH,NO07	95.87 	90.90 	96.54 	99.41 	99.53 
A,PC_HH,PL	77.64 	79.33 	83.30 	89.57 	91.72 
A,PC_HH,PL1	77.29 	: 	: 	: 	: 
A,PC_HH,PL2	77.12 	78.07 	82.90 	89.36 	91.83 
A,PC_HH,PL3	76.61 	: 	: 	: 	: 
A,PC_HH,PL4	77.57 	80.82 	82.11 	88.60 	92.45 
A,PC_HH,PL5	78.43 	75.42 	85.34 	90.07 	92.41 
A,PC_HH,PL6	79.43 	81.84 	83.67 	89.82 	91.51 
A,PC_HH,PL7	: 	74.94 	81.84 	88.59 	88.04 
A,PC_HH,PL8	: 	78.25 	82.47 	87.50 	90.36 
A,PC_HH,PL9	: 	82.80 	84.91 	92.36 	94.41 
A,PC_HH,PT	76.36 	76.93 	77.95 	81.67 	84.10 
A,PC_HH,PT1	76.09 	76.65 	77.70 	81.51 	83.93 
A,PC_HH,PT11	73.62 	73.68 	74.38 	78.62 	81.43 
A,PC_HH,PT15	72.76 	73.59 	76.96 	82.93 	84.51 
A,PC_HH,PT16	72.10 	72.79 	74.07 	77.57 	80.93 
A,PC_HH,PT17	84.96 	85.81 	86.00 	88.63 	90.14 
A,PC_HH,PT18	65.78 	66.97 	71.56 	77.14 	79.01 
