Probability of person working from home, at least some of the time
	(1)	(2)	(3)	(4)
PT18_Alentejo	-0.206***	-0.115***	-0.217***	0.116***
PT20_Região Autónoma dos Açores	0.250***	0.115***	0.0532***	0.0303*
PT30_Região Autónoma da Madeira	0.188***	0.134***	0.175***	0.0636***
RO11_Nord-Vest	0.215***	0.0562***	0.168***	-0.0556***
RO12_Centru	-0.0571***	-0.0284***	-0.120***	-0.0544***
RO21_Nord-Est	-0.291***	-0.140***	-0.378***	-0.0447***
RO22_Sud-Est	-0.249***	-0.111***	-0.246***	-0.00591
RO31_Sud-Muntenia	-0.113***	-0.0758***	-0.125***	-0.0381***
RO32_Bucureşti-Ilfov	-0.0540***	-0.239***	-0.237***	-0.213***
RO41_Sud-Vest Oltenia	0.0255***	0.000716	-0.167***	-0.0609***
RO42_Vest	0.215***	0.116***	0.224***	-0.0426***
SE11_Stockholm	0.318***	0.259***	0.211***	0.167***
SE12_Östra Mellansverige	0.622***	0.555***	0.552***	0.223***
SE21_Småland med öarna	0.610***	0.598***	0.483***	0.228***
SE22_Sydsverige	0.727***	0.559***	0.387***	0.253***
SE23_Västsverige	0.667***	0.584***	0.540***	0.273***
SE31_Norra Mellansverige	0.544***	0.478***	0.180***	0.228***
SE32_Mellersta Norrland	0.315***	0.598***	0.517***	0.239***
SE33_Övre Norrland	0.541***	0.531***	0.314***	0.278***
SK01_Bratislavský kraj	-0.0946***	-0.249***	-0.217***	-0.211***
SK02_Západné Slovensko	0.107***	0.0384***	0.0294***	-0.000139
SK03_Stredné Slovensko	0	0	0	0
SK04_Východné Slovensko	0	0	0	0
HR02_Panonska Hrvatska				-0.00807
HR05_Grad Zagreb				-0.0560***
HR06_Sjeverna Hrvatska				-0.0176**
Constant	1.990***	1.520***	3.791***	-0.524***
Region FE	Yes	Yes	Yes	Yes
N	1476972	1418621	1157157	1030541
Adjusted R-squared	0.216	0.227	0.243	0.297
